DATE,GS1,GS2,GS3,GS5,GS10,GS20,GS30
2014-11-01,0.13,0.53,0.96,1.62,2.33,2.76,3.04
2014-12-01,0.21,0.64,1.06,1.64,2.21,2.55,2.83
2015-01-01,0.2,0.55,0.9,1.37,1.88,2.2,2.46
2015-02-01,0.22,0.62,0.99,1.47,1.98,2.34,2.57
2015-03-01,0.25,0.64,1.02,1.52,2.04,2.41,2.63
2015-04-01,0.23,0.54,0.87,1.35,1.94,2.33,2.59
2015-05-01,0.24,0.61,0.98,1.54,2.2,2.69,2.96
2015-06-01,0.28,0.69,1.07,1.68,2.36,2.85,3.11
2015-07-01,0.3,0.67,1.03,1.63,2.32,2.77,3.07
2015-08-01,0.38,0.7,1.03,1.54,2.17,2.55,2.86
2015-09-01,0.37,0.71,1.01,1.49,2.17,2.62,2.95
2015-10-01,0.26,0.64,0.93,1.39,2.07,2.5,2.89
2015-11-01,0.48,0.88,1.2,1.67,2.26,2.69,3.03
2015-12-01,0.65,0.98,1.28,1.7,2.24,2.61,2.97
2016-01-01,0.54,0.9,1.14,1.52,2.09,2.49,2.86
2016-02-01,0.53,0.73,0.9,1.22,1.78,2.2,2.62
2016-03-01,0.66,0.88,1.04,1.38,1.89,2.28,2.68
2016-04-01,0.56,0.77,0.92,1.26,1.81,2.21,2.62
2016-05-01,0.59,0.82,0.97,1.3,1.81,2.22,2.63
2016-06-01,0.55,0.73,0.86,1.17,1.64,2.02,2.45
2016-07-01,0.51,0.67,0.79,1.07,1.5,1.82,2.23
2016-08-01,0.57,0.74,0.85,1.13,1.56,1.89,2.26
2016-09-01,0.59,0.77,0.9,1.18,1.63,2.02,2.35
2016-10-01,0.66,0.84,0.99,1.27,1.76,2.17,2.5
2016-11-01,0.74,0.98,1.22,1.6,2.14,2.54,2.86
2016-12-01,0.87,1.2,1.49,1.96,2.49,2.84,3.11
2017-01-01,0.83,1.21,1.48,1.92,2.43,2.75,3.02
2017-02-01,0.82,1.2,1.47,1.9,2.42,2.76,3.03
2017-03-01,1.01,1.31,1.59,2.01,2.48,2.83,3.08
2017-04-01,1.04,1.24,1.44,1.82,2.3,2.67,2.94
2017-05-01,1.12,1.3,1.48,1.84,2.3,2.7,2.96
2017-06-01,1.2,1.34,1.49,1.77,2.19,2.54,2.8
2017-07-01,1.22,1.37,1.54,1.87,2.32,2.65,2.88
2017-08-01,1.23,1.34,1.48,1.78,2.21,2.55,2.8
2017-09-01,1.28,1.38,1.51,1.8,2.2,2.53,2.78
2017-10-01,1.4,1.55,1.68,1.98,2.36,2.65,2.88
2017-11-01,1.56,1.7,1.81,2.05,2.35,2.6,2.8
2017-12-01,1.7,1.84,1.96,2.18,2.4,2.6,2.77
2018-01-01,1.8,2.03,2.15,2.38,2.58,2.73,2.88
2018-02-01,1.96,2.18,2.36,2.6,2.86,3.02,3.13
2018-03-01,2.06,2.28,2.42,2.63,2.84,2.97,3.09
2018-04-01,2.15,2.38,2.52,2.7,2.87,2.96,3.07
2018-05-01,2.27,2.51,2.66,2.82,2.98,3.05,3.13
2018-06-01,2.33,2.53,2.65,2.78,2.91,2.98,3.05
2018-07-01,2.39,2.61,2.7,2.78,2.89,2.94,3.01
2018-08-01,2.45,2.64,2.71,2.77,2.89,2.97,3.04
2018-09-01,2.56,2.77,2.84,2.89,3.0,3.08,3.15
2018-10-01,2.65,2.86,2.94,3.0,3.15,3.27,3.34
2018-11-01,2.7,2.86,2.91,2.95,3.12,3.27,3.36
2018-12-01,2.66,2.68,2.67,2.68,2.83,2.98,3.1
2019-01-01,2.58,2.54,2.52,2.54,2.71,2.89,3.04
2019-02-01,2.55,2.5,2.48,2.49,2.68,2.87,3.02
2019-03-01,2.49,2.41,2.37,2.37,2.57,2.8,2.98
2019-04-01,2.42,2.34,2.31,2.33,2.53,2.76,2.94
2019-05-01,2.34,2.21,2.16,2.19,2.4,2.63,2.82
2019-06-01,2.0,1.81,1.78,1.83,2.07,2.36,2.57
2019-07-01,1.96,1.84,1.8,1.83,2.06,2.36,2.57
2019-08-01,1.77,1.57,1.51,1.49,1.63,1.91,2.12
2019-09-01,1.8,1.65,1.59,1.57,1.7,1.97,2.16
2019-10-01,1.61,1.55,1.53,1.53,1.71,2.0,2.19
2019-11-01,1.57,1.61,1.61,1.64,1.81,2.13,2.28
2019-12-01,1.55,1.61,1.63,1.68,1.86,2.16,2.3
2020-01-01,1.53,1.52,1.52,1.56,1.76,2.07,2.22
2020-02-01,1.41,1.33,1.31,1.32,1.5,1.81,1.97
2020-03-01,0.33,0.45,0.5,0.59,0.87,1.26,1.46
